position,scenario,exercise,trafficType,objectId,timestamp,visible,authorized,moving,speed,status,phase,name,creator,heading,droneType,onlyRadar
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-07 10:54:36.426","plane","EZY152X",1549641139000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-07 10:54:36.426","plane","NAPOLI",1549641143000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641060000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.65911022811112","lng":"8.766234253261342"},"LIMC","2022-06-07 10:54:36.426","drone","Esx3FLb0VquUICoPUU22",1549641064000,false,false,false,3,"ok","none","Drone_04","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-07 10:54:36.426","plane","NAPOLI",1549641066000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641066000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.65911022811112","lng":"8.766234253261342"},"LIMC","2022-06-07 10:54:36.426","drone","Esx3FLb0VquUICoPUU22",1549641067000,false,false,false,3,"ok","none","Drone_04","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-07 10:54:36.426","plane","AEA406",1549641067000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-07 10:54:36.426","plane","AUA516P",1549641067000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641068000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641069000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-07 10:54:36.426","plane","ADH138",1549641070000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641078000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641079000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-07 10:54:36.426","plane","ADH138",1549641086000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-07 10:54:36.426","plane","EZY152X",1549641090000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641090000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-07 10:54:36.426","plane","ADH124",1549641091000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-07 10:54:36.426","plane","NAPOLI",1549641091000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641095000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.635791814381236","lng":"8.713050869215206"},"LIMC","2022-06-07 10:54:36.426","drone","gPPYtuhlpM2tRLcJgNFU",1549641096000,true,true,false,3,"ok","none","Drone_05","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","false"
{"lat":"45.65124645550718","lng":"8.674991077279474"},"LIMC","2022-06-07 10:54:36.426","drone","wTghmmJzVKAgVFpIu5jq",1549641096000,false,false,false,3,"ok","none","Drone_01","Maurizio - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641097000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.65124645550718","lng":"8.674991077279474"},"LIMC","2022-06-07 10:54:36.426","drone","wTghmmJzVKAgVFpIu5jq",1549641097000,false,false,false,3,"ok","none","Drone_01","Maurizio - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-07 10:54:36.426","plane","ADH124",1549641102000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.65124645550718","lng":"8.674991077279474"},"LIMC","2022-06-07 10:54:36.426","drone","wTghmmJzVKAgVFpIu5jq",1549641103000,false,false,false,3,"ok","none","Drone_01","Maurizio - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.635791814381236","lng":"8.713050869215206"},"LIMC","2022-06-07 10:54:36.426","drone","gPPYtuhlpM2tRLcJgNFU",1549641104000,true,true,false,3,"ok","none","Drone_05","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-07 10:54:36.426","plane","ADH124",1549641104000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-07 10:54:36.426","plane","AEA406",1549641105000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.635791814381236","lng":"8.713050869215206"},"LIMC","2022-06-07 10:54:36.426","drone","gPPYtuhlpM2tRLcJgNFU",1549641105000,true,true,false,3,"ok","none","Drone_05","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-07 10:54:36.426","plane","ADH138",1549641106000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-07 10:54:36.426","plane","AEA406",1549641106000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-07 10:54:36.426","plane","ADH124",1549641107000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.635791814381236","lng":"8.713050869215206"},"LIMC","2022-06-07 10:54:36.426","drone","gPPYtuhlpM2tRLcJgNFU",1549641108000,true,true,false,3,"ok","none","Drone_05","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-07 10:54:36.426","plane","NAPOLI",1549641109000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-07 10:54:36.426","plane","AEA406",1549641110000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-07 10:54:36.426","plane","AUA516P",1549641110000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.65911022811112","lng":"8.766234253261342"},"LIMC","2022-06-07 10:54:36.426","drone","Esx3FLb0VquUICoPUU22",1549641111000,false,false,false,3,"ok","none","Drone_04","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.65124645550718","lng":"8.674991077279474"},"LIMC","2022-06-07 10:54:36.426","drone","wTghmmJzVKAgVFpIu5jq",1549641112000,false,false,false,3,"ok","none","Drone_01","Maurizio - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-07 10:54:36.426","plane","NAPOLI",1549641113000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-07 10:54:36.426","plane","NAPOLI",1549641115000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-07 10:54:36.426","plane","EZY363E",1549641115000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.65911022811112","lng":"8.766234253261342"},"LIMC","2022-06-07 10:54:36.426","drone","Esx3FLb0VquUICoPUU22",1549641116000,false,false,false,3,"ok","none","Drone_04","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.65911022811112","lng":"8.766234253261342"},"LIMC","2022-06-07 10:54:36.426","drone","Esx3FLb0VquUICoPUU22",1549641120000,false,false,false,3,"ok","none","Drone_04","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.635791814381236","lng":"8.713050869215206"},"LIMC","2022-06-07 10:54:36.426","drone","gPPYtuhlpM2tRLcJgNFU",1549641120000,true,true,false,3,"ok","none","Drone_05","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-07 10:54:36.426","plane","AEA406",1549641121000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641121000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-07 10:54:36.426","plane","ADH124",1549641122000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-07 10:54:36.426","plane","ADH138",1549641122000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641123000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-07 10:54:36.426","plane","ADH138",1549641124000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641126000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.65124645550718","lng":"8.674991077279474"},"LIMC","2022-06-07 10:54:36.426","drone","wTghmmJzVKAgVFpIu5jq",1549641130000,false,false,false,3,"ok","none","Drone_01","Maurizio - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641131000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.65124645550718","lng":"8.674991077279474"},"LIMC","2022-06-07 10:54:36.426","drone","wTghmmJzVKAgVFpIu5jq",1549641131000,false,false,false,3,"ok","none","Drone_01","Maurizio - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.635791814381236","lng":"8.713050869215206"},"LIMC","2022-06-07 10:54:36.426","drone","gPPYtuhlpM2tRLcJgNFU",1549641132000,true,true,false,3,"ok","none","Drone_05","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641134000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-07 10:54:36.426","plane","AEA406",1549641135000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641135000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641137000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-07 10:54:36.426","plane","AUA516P",1549641137000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-07 10:54:36.426","plane","ADH124",1549641138000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.635791814381236","lng":"8.713050869215206"},"LIMC","2022-06-07 10:54:36.426","drone","gPPYtuhlpM2tRLcJgNFU",1549641140000,true,true,false,3,"ok","none","Drone_05","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-07 10:54:36.426","plane","NAPOLI",1549641140000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.65911022811112","lng":"8.766234253261342"},"LIMC","2022-06-07 10:54:36.426","drone","Esx3FLb0VquUICoPUU22",1549641141000,false,false,false,3,"ok","none","Drone_04","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641141000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-07 10:54:36.426","plane","EZY152X",1549641141000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-07 10:54:36.426","plane","EZY363E",1549641131000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-07 10:54:36.426","plane","ADH124",1549641132000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-07 10:54:36.426","plane","EZY363E",1549641133000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-07 10:54:36.426","plane","EZY152X",1549641133000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-07 10:54:36.426","plane","EZY152X",1549641134000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-07 10:54:36.426","plane","AUA516P",1549641135000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641136000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-07 10:54:36.426","plane","ADH124",1549641139000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.65911022811112","lng":"8.766234253261342"},"LIMC","2022-06-07 10:54:36.426","drone","Esx3FLb0VquUICoPUU22",1549641140000,false,false,false,3,"ok","none","Drone_04","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-07 10:54:36.426","plane","ADH138",1549641141000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-07 10:54:36.426","plane","NAPOLI",1549641142000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641142000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641143000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-07 10:54:36.426","plane","EZY363E",1549641144000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-07 10:54:36.426","plane","EZY363E",1549641145000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.65124645550718","lng":"8.674991077279474"},"LIMC","2022-06-07 10:54:36.426","drone","wTghmmJzVKAgVFpIu5jq",1549641145000,false,false,false,3,"ok","none","Drone_01","Maurizio - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.65911022811112","lng":"8.766234253261342"},"LIMC","2022-06-07 10:54:36.426","drone","Esx3FLb0VquUICoPUU22",1549641146000,false,false,false,3,"ok","none","Drone_04","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.65124645550718","lng":"8.674991077279474"},"LIMC","2022-06-07 10:54:36.426","drone","wTghmmJzVKAgVFpIu5jq",1549641062000,false,false,false,3,"ok","none","Drone_01","Maurizio - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641064000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-07 10:54:36.426","plane","ADH124",1549641067000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.635791814381236","lng":"8.713050869215206"},"LIMC","2022-06-07 10:54:36.426","drone","gPPYtuhlpM2tRLcJgNFU",1549641067000,true,true,false,3,"ok","none","Drone_05","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-07 10:54:36.426","plane","AEA406",1549641068000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641070000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-07 10:54:36.426","plane","ADH138",1549641071000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.65911022811112","lng":"8.766234253261342"},"LIMC","2022-06-07 10:54:36.426","drone","Esx3FLb0VquUICoPUU22",1549641072000,false,false,false,3,"ok","none","Drone_04","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-07 10:54:36.426","plane","EZY363E",1549641073000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-07 10:54:36.426","plane","EZY363E",1549641076000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641076000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641077000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.65911022811112","lng":"8.766234253261342"},"LIMC","2022-06-07 10:54:36.426","drone","Esx3FLb0VquUICoPUU22",1549641077000,false,false,false,3,"ok","none","Drone_04","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","true"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-07 10:54:36.426","plane","EZY363E",1549641078000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.621954133615844","lng":"8.71580164458004"},"LIMC","2022-06-07 10:54:36.426","plane","NAPOLI",1549641079000,true,true,false,0,"ok","STATIONARY","NAPOLI","eArts",529,"UNKNOW","false"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-07 10:54:36.426","plane","ADH138",1549641080000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.635791814381236","lng":"8.713050869215206"},"LIMC","2022-06-07 10:54:36.426","drone","gPPYtuhlpM2tRLcJgNFU",1549641080000,true,true,false,3,"ok","none","Drone_05","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","false"
{"lat":"45.62043065925101","lng":"8.720971821513615"},"LIMC","2022-06-07 10:54:36.426","plane","AUA516P",1549641081000,true,true,false,0,"ok","STATIONARY","AUA516P","eArts",80,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-07 10:54:36.426","plane","AEA406",1549641082000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641084000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.623760761898936","lng":"8.691127246713068"},"LIMC","2022-06-07 10:54:36.426","drone","YdjGUNK6n2Ai3XkNqwn7",1549641085000,false,false,false,3,"ok","none","Drone_02","Maurizio - Flutter App",0,"AOe1Xx3NxyiGci0wcwNf","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-07 10:54:36.426","plane","ADH138",1549641088000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.62417644286196","lng":"8.717764525109455"},"LIMC","2022-06-07 10:54:36.426","plane","AEA406",1549641088000,true,true,false,0,"ok","STATIONARY","AEA406","eArts",324,"UNKNOW","false"
{"lat":"45.65124645550718","lng":"8.674991077279474"},"LIMC","2022-06-07 10:54:36.426","drone","wTghmmJzVKAgVFpIu5jq",1549641088000,false,false,false,3,"ok","none","Drone_01","Maurizio - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.64605738463119","lng":"8.725169731353391"},"LIMC","2022-06-07 10:54:36.426","plane","EZY363E",1549641091000,true,true,false,0,"ok","STATIONARY","EZY363E","eArts",259,"UNKNOW","false"
{"lat":"45.65124645550718","lng":"8.674991077279474"},"LIMC","2022-06-07 10:54:36.426","drone","wTghmmJzVKAgVFpIu5jq",1549641091000,false,false,false,3,"ok","none","Drone_01","Maurizio - Flutter App",0,"1FP8D5Gx2nCkwsXKiTPb","true"
{"lat":"45.625973455795105","lng":"8.719449853566177"},"LIMC","2022-06-07 10:54:36.426","plane","ADH138",1549641092000,true,true,false,0,"ok","STATIONARY","ADH138","eArts",79,"UNKNOW","false"
{"lat":"45.62460250393698","lng":"8.719825728416836"},"LIMC","2022-06-07 10:54:36.426","plane","ADH124",1549641093000,true,true,false,0,"ok","STATIONARY","ADH124","eArts",78,"UNKNOW","false"
{"lat":"45.635791814381236","lng":"8.713050869215206"},"LIMC","2022-06-07 10:54:36.426","drone","gPPYtuhlpM2tRLcJgNFU",1549641094000,true,true,false,3,"ok","none","Drone_05","Maurizio - Flutter App",0,"zEctzVjoRiZ7T5aBTe6J","false"
{"lat":"45.64551675894887","lng":"8.724741292395818"},"LIMC","2022-06-07 10:54:36.426","plane","EZY152X",1549641097000,true,true,false,0,"ok","STATIONARY","EZY152X","eArts",349,"UNKNOW","false"
{"lat":"45.63080794750029","lng":"8.759877628182794"},"LIMC","2022-06-07 10:54:36.426","drone","iKYbrxrdmUfbbckB7wZJ",1549641097000,false,false,false,3,"ok","none","Drone_03","Maurizio - Flutter App",0,"qJfB2EiRwZzorBCifwNH","true"
